username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BernardSheppard;2017-12-30 06:51;0;0;"Drinking a Piraat Triple Hop by Brouwerij Van Steenberge at @ beerculturenyc —http://untp.beer/s/c545025251";;@;;"946914093063200771";https://twitter.com/BernardSheppard/status/946914093063200771
LizPop11;2017-12-30 06:51;0;0;"The best way to end the # holiday with @ daewooridin23 # nyc # NewYork @Tir na nOg Irish Bar &… https://www.instagram.com/p/BdTsg-5HiLv/";;@ @Tir;# # #;"946914054970466304";https://twitter.com/LizPop11/status/946914054970466304
CVazzana;2017-12-30 06:51;0;0;"~ How many people can say that their senior year of college they started their own company?… https://www.instagram.com/p/BdTsgfwBu4K/";;;;"946914038839152643";https://twitter.com/CVazzana/status/946914038839152643
godolcevita;2017-12-30 06:51;0;1;"This is your last weekend to explore @ therapeutate at our discovery Studio. Inspired by reiki… https://www.instagram.com/p/BdTsfyijPYE/";;@;;"946914021139255296";https://twitter.com/godolcevita/status/946914021139255296
Daddii_Is_A_God;2017-12-30 06:51;0;0;"shit got me weaaaaaak lol # lion # nochlll # thot # malethot # wildanimal… https://www.instagram.com/p/BdTsUlahqBcv8WSPB3D3GdrI_tril0rz2zrhWo0/ …";;;# # # # #;"946913991112253441";https://twitter.com/Daddii_Is_A_God/status/946913991112253441
ClaraCoquette;2017-12-30 06:50;0;0;"# Repost @ ritamenweep Holidaze with @ claracoquette @ museummodernart lived this exhibit on… https://www.instagram.com/p/BdTsZ-FDGbn/";;@ @ @;#;"946913958077878273";https://twitter.com/ClaraCoquette/status/946913958077878273
sassdeluxe;2017-12-30 06:50;0;0;"Compound loves @TERMINAL 5 https://www.instagram.com/p/BdTseIVge-B/";;@TERMINAL;;"946913957868113921";https://twitter.com/sassdeluxe/status/946913957868113921
tentwentysixpm;2017-12-30 06:50;0;0;"midtown raptures of the now; @New York, New York https://www.instagram.com/p/BdTsdzEHX_8/";;@New;;"946913945843060736";https://twitter.com/tentwentysixpm/status/946913945843060736
TotalTrafficNYC;2017-12-30 06:50;0;0;"Accident, left lane blocked in # Queens on The L.I.E. WB at x22, stop and go traffic back to X24, delay of 6 mins # traffic";;;# #;"946913906664108033";https://twitter.com/TotalTrafficNYC/status/946913906664108033
Charles16e;2017-12-30 06:50;0;0;"A # cocktail at the#aviarynyc called # boomgoesthedynamite. @Mandarin Oriental, New York https://www.instagram.com/p/BdTqwRiF-Go/";;@Mandarin;# #aviarynyc #;"946913906353721345";https://twitter.com/Charles16e/status/946913906353721345
Alv1n;2017-12-30 06:50;0;0;"I'm at Richie's Gym in Brooklyn, NYhttps://www.swarmapp.com/c/ckGrrOeLCIo";;;;"946913818772430849";https://twitter.com/Alv1n/status/946913818772430849
realDanielOlivo;2017-12-30 06:50;0;0;"Exercise and workout...cardio and weights. @Planet Fitness https://www.instagram.com/p/BdTsI7Sn3n9/";;@Planet;;"946913781375995904";https://twitter.com/realDanielOlivo/status/946913781375995904
CourtneyKuhlman;2017-12-30 06:50;0;1;"Official, officially # brooklynresident # bedstuyliving # whereintheworldisck # timetomovein… https://www.instagram.com/p/BdTogoDHRts/";;;# # # #;"946913758911303681";https://twitter.com/CourtneyKuhlman/status/946913758911303681
