date,favorites,geo,hashtags,mentions,permalink,retweets,term,text,tweet_id,username
2017-11-02 14:29:08,0,,,@ @,https://twitter.com/NelsonSwitzer/status/926154223414214656,0,@LACity,A treat and honor to chat with @ LACity ‘s Liz Crosson on behalf of @ NestleWatersNA . What terrific insights.https://twitter.com/tcarraro/status/926147371121090560 …,926154223414214656,
2017-11-02 14:13:14,2,,# #,@,https://twitter.com/JeanneHolm/status/926150220802441216,1,@LACity,Amazing projects at @ LACity # DataScience Federation showcasing # opendata for good today http://Dsf.lacity.org pic.twitter.com/PdTF6wyjvo,926150220802441216,
2017-11-02 14:11:45,3,,#,@,https://twitter.com/AtlanticLIVE/status/926149849040396288,0,@LACity,. @ LACity's Liz Crosson explains the Sustainable City Plan and how it rolled out as a mass collective action # AtlanticWaterpic.twitter.com/wHLtfsT6Wt,926149849040396288,
2017-11-02 14:08:47,2,,#,@,https://twitter.com/AtlanticLIVE/status/926149100898275330,0,@LACity,"To meet the Sustainable Cities Plan goals, we need all of LA's help, says @ LACity's Liz Crosson at # AtlanticWater",926149100898275330,
2017-11-02 14:07:07,2,,#,@,https://twitter.com/AtlanticLIVE/status/926148684034830336,0,@LACity,"In keeping neighborhoods livable + sustainable through water efforts, clear communication is key, says @ LACity's Liz Crosson # AtlanticWater",926148684034830336,
2017-11-02 14:07:06,1,,#,@,https://twitter.com/AtlanticLIVE/status/926148677520957441,0,@LACity,Liz Crosson discusses how growing up in the Sacramento Delta influences her work weening @ LACity off of imported water # AtlanticWaterpic.twitter.com/v6eDOIbBXZ,926148677520957441,
2017-11-02 14:06:06,5,,#,@ @,https://twitter.com/aayujain1592/status/926148425304780800,2,@LACity,"Water resiliency involves equity & economic develpmnt, @ LACity is workg on integrated water plan: Liz Crosson # AtlanticWater @ NelsonSwitzerpic.twitter.com/rOMVoNRrMB",926148425304780800,
2017-11-02 14:05:32,3,,#,@ @ @,https://twitter.com/AtlanticLIVE/status/926148284602814464,1,@LACity,"Asked about challenges by @ NestleWatersNA's @ NelsonSwitzer, @ LACity's Liz Crosson cites need for holistic, balanced impact # AtlanticWater",926148284602814464,
2017-11-02 14:00:51,3,,#,@,https://twitter.com/AtlanticLIVE/status/926147105479122946,2,@LACity,". @ LACity's Liz Crosson is excited about the city committing to integrated water management, reducing water imports # AtlanticWater",926147105479122946,
2017-11-02 13:59:31,0,,,,https://twitter.com/Luevano1/status/926146767535689729,0,@LACity,If it was attempted suicide more than likely they were.,926146767535689729,
2017-11-02 13:57:49,3,,# #,@ @,https://twitter.com/AtlanticLIVE/status/926146341604077569,0,@LACity,Now a session produced by our underwriter @ NestleWatersNA at # AtlanticWater: @ LACity's Liz Crosson on municipalities' role # Sponsored,926146341604077569,
2017-11-02 13:36:40,0,,#,@,https://twitter.com/Abby_Flores_PE/status/926141017262145536,0,@LACity,Wow! Congrats @ lacity for prioritizing & committing to a # SafeRoutes2School program that protects the most vulnerable transportation users!https://twitter.com/FIAFdn/status/925737951409131521 …,926141017262145536,
2017-11-02 13:22:45,0,,# #,@ @ @,https://twitter.com/LAFDtalk/status/926137516276592640,0,@LACity,While @ LAFD identifies a number important factors related to # EMS response in @ LACity for our friends @ CountyofLA Health Services: http://bit.ly/LACountyEMSdata ... we do not track whether or not they are # Dodgers Fans. ^BH,926137516276592640,
2017-11-02 13:17:29,0,,,,https://twitter.com/the_dfama/status/926136192805904384,0,@LACity,except Yu Darvish... he can go fuck himself,926136192805904384,
2017-11-02 12:54:32,0,,,,https://twitter.com/GPedroarias/status/926130416968486912,0,@LACity,This wasn't a great F**king day.,926130416968486912,
2017-11-02 12:35:30,0,,,,https://twitter.com/AndHossable/status/926125625521340417,0,@LACity,We should create a new city tax called the dodger tax just to show we support them.,926125625521340417,
2017-11-02 12:20:07,7,,#,@ @,https://twitter.com/LMUSnyder/status/926121755504201729,1,@LACity,"# TBT is time for historic pics like this image of @ LACity Hall, part of @ LMULibrary's vast postcard collection: http://bit.ly/2zNoFik pic.twitter.com/D4L1bXiAV3",926121755504201729,
2017-11-02 10:32:05,0,,# # # # # #,@,https://twitter.com/HearMyVoice45/status/926094566729580545,0,@LACity,"# SanctuaryCity # LosAngeles @ LACity has a homeless problem, I wonder why? # DACA # WorldSeries # HoustonAstros kick the # Dodgers A$$",926094566729580545,
