,0,1,2,predOp
204,Stage,NNP,O,B-noun.location
205,for,IN,O,O
206,a,DT,O,O
207,spooktacular,JJ,O,O
208,triple,JJ,O,O
209,bill,NN,O,B-noun.communication
210,!,.,O,O
211,See,VB,O,B-verb.perception
212,you…,JJ,O,O
213,https,NN,O,B-noun.communication
214,:,:,O,O
215,//www,NN,O,B-noun.communication
216,.,.,O,O
217,instagram.com/p/Ba5DRSFBRrn/,NN,O,B-noun.cognition
218,#,#,O,O
219,hollywoodhills,NNS,O,B-noun.communication
220,#,#,O,O
221,hollywood,NN,O,B-noun.communication
222,#,#,O,O
223,burbank,NN,O,B-noun.communication
224,#,#,O,O
225,tennis,NN,O,B-noun.communication
226,#,#,O,O
227,suave,VBP,O,B-verb.stative
228,#,#,O,O
229,sheek,JJ,O,O
230,#,#,O,O
231,cool,JJ,O,O
232,#,#,O,O
233,fun,NN,O,B-noun.act
234,#,#,O,O
235,tennisclub,JJ,O,O
236,@,NNP,O,B-noun.communication
237,Toluca,NNP,O,I-noun.communication
238,Lake…,NNP,O,I-noun.communication
239,https,NN,O,I-noun.communication
240,:,:,O,O
241,//www,NN,O,B-noun.communication
242,.,.,O,O
243,instagram.com/p/Ba5DOnxgv0i/,NN,O,B-noun.cognition
244,I,PRP,O,O
245,am,VBP,O,O
246,signed,VBN,O,B-verb.possession
247,up,RP,O,O
248,for,IN,O,O
249,my,PRP$,O,O
250,spring,NN,O,B-noun.time
251,2018,CD,O,O
252,classes,NNS,O,B-noun.time
253,at,IN,O,O
254,CSULA,NNP,O,B-noun.artifact
255,thanks,NNS,O,I-noun.artifact
256,to,TO,O,O
257,my,PRP$,O,O
258,priority,NN,O,B-noun.artifact
259,registration,NN,O,I-noun.artifact
260,since,IN,O,O
261,I,PRP,O,O
262,am…,VBP,O,B-verb.cognition
263,https,NNS,O,B-noun.person
264,:,:,O,O
265,//www,NN,O,B-noun.communication
266,.,.,O,O
267,instagram.com/p/Ba5DORTl2oN/,NN,O,B-noun.cognition
268,Big,JJ,O,O
269,fucking,NN,O,B-noun.time
270,day,NN,O,I-noun.time
271,tomorrow,NN,O,B-noun.time
272,LA,NNP,O,B-noun.location
273,#,#,O,O
274,worldseries,NNS,O,B-noun.person
275,#,#,O,O
276,worldseries2017,JJ,O,O
277,#,#,O,O
278,dodgerstadium,NN,O,B-noun.communication
279,#,#,O,O
280,hometeam,NN,O,B-noun.act
281,…,NN,O,I-noun.act
282,https,NN,O,I-noun.act
283,:,:,O,O
284,//www,NN,O,B-noun.communication
285,.,.,O,O
286,instagram.com/p/Ba5DH9nlV8h/,NN,O,B-noun.cognition
287,PARKING,NN,O,B-noun.communication
288,:,:,O,O
289,If,IN,O,O
290,you,PRP,O,O
291,MUST,VBP,O,B-verb.stative
292,drive,JJ,O,O
293,",",",",O,O
294,we,PRP,O,O
295,have,VBP,O,B-verb.possession
296,some,DT,O,O
297,info,NN,O,B-noun.communication
298,for,IN,O,O
299,you,PRP,O,O
300,too,RB,O,O
301,!,.,O,O
302,Learn,NNP,O,B-noun.person
303,more,JJR,O,O
304,:,:,O,O
305,#,#,O,O
306,WeHoCity,NNP,O,B-noun.communication
307,http,NN,O,I-noun.communication
308,:,:,O,O
309,//www,NN,O,B-noun.communication
310,.,.,O,O
311,weho.org/visitors/event,JJ,O,O
312,s-in-the-city/halloween-carnaval/parking-information,NN,O,B-noun.act
313,…,NN,O,I-noun.act
314,pic.twitter.com/jtvutAyhG3,NN,O,I-noun.act
315,Great,NNP,O,B-noun.event
316,film,NN,O,I-noun.event
317,conversation,NN,O,I-noun.event
318,and,CC,O,O
319,coffee,NN,O,B-noun.person
320,in,IN,O,O
321,this,DT,O,O
322,morning,NN,O,B-noun.time
323,'s,POS,O,O
324,meeting,NN,O,B-noun.act
325,at,IN,O,O
326,Soho,NNP,O,B-noun.location
327,House,NNP,O,I-noun.location
328,",",",",O,O
329,what,WP,O,O
330,a,DT,O,O
331,beautiful…,NN,O,B-noun.act
332,https,NN,O,I-noun.act
333,:,:,O,O
334,//www,NN,O,B-noun.communication
335,.,.,O,O
336,instagram.com/p/Ba5DHIbBQ0y/,NN,O,B-noun.cognition
337,The,DT,O,O
338,Haunting,NNP,O,B-noun.location
339,(,(,O,O
340,SHORT,NNP,O,B-noun.location
341,HORROR,NNP,O,I-noun.location
342,COMEDY,NNP,O,I-noun.location
343,FILM,NNP,O,I-noun.location
344,),),O,O
345,featuring,VBG,O,B-verb.stative
346,ramboleethechief,JJ,O,O
347,@,JJ,O,O
348,FreshDiscoMusic,NNP,O,B-noun.communication
349,@,NNP,O,I-noun.communication
350,tee_hud12,NN,O,I-noun.communication
351,…,NNP,O,I-noun.communication
352,https,NN,O,I-noun.communication
353,:,:,O,O
354,//www,NN,O,B-noun.communication
355,.,.,O,O
356,instagram.com/p/Ba5DGQJBISu/,NN,O,B-noun.cognition
357,#,#,O,O
358,hollywoodhills,NNS,O,B-noun.communication
359,#,#,O,O
360,hollywood,NN,O,B-noun.communication
361,#,#,O,O
362,burbank,NN,O,B-noun.communication
363,#,#,O,O
364,tennis,NN,O,B-noun.communication
365,#,#,O,O
366,suave,VBP,O,B-verb.stative
367,#,#,O,O
368,sheek,JJ,O,O
369,#,#,O,O
370,cool,JJ,O,O
371,#,#,O,O
372,fun,NN,O,B-noun.act
373,#,#,O,O
374,tennisclub,JJ,O,O
375,@,NNP,O,B-noun.communication
376,Toluca,NNP,O,I-noun.communication
377,Lake…,NNP,O,I-noun.communication
378,https,NN,O,I-noun.communication
379,:,:,O,O
380,//www,NN,O,B-noun.communication
381,.,.,O,O
382,instagram.com/p/Ba5DGpRgCqw/,NN,O,B-noun.cognition
383,NFL,NNP,O,B-noun.group
384,TODDLER,NNP,O,I-noun.group
385,2,CD,O,O
386,PC,NNP,O,B-noun.communication
387,FLEECE,NNP,O,I-noun.communication
388,SETS,NNP,O,I-noun.communication
389,#,#,O,O
390,steelers,NNS,O,B-noun.artifact
391,#,#,O,O
392,broncos,RB,O,O
393,#,#,O,O
394,raiders,NNS,O,B-noun.group
395,@,VBP,O,B-verb.change
396,The,DT,O,O
397,4th,JJ,O,O
398,Quarter,NNP,O,B-noun.communication
399,Shop,NNP,O,I-noun.communication
400,https,NN,O,I-noun.communication
401,:,:,O,O
402,//www,NN,O,B-noun.communication
403,.,.,O,O
404,instagram.com/p/Ba5DGhEn_jh/,NN,O,B-noun.cognition
405,#,#,O,O
406,verseoftheday,JJ,O,O
407,@,NNP,O,B-noun.communication
408,Rodeo,NNP,O,I-noun.communication
409,Drive,NNP,O,I-noun.communication
410,https,NN,O,I-noun.communication
411,:,:,O,O
412,//www,NN,O,B-noun.communication
413,.,.,O,O
414,instagram.com/p/Ba5DE7GFGVq/,NN,O,B-noun.cognition
415,Here,RB,O,O
416,come,VBN,O,B-verb.motion
417,another,DT,O,O
418,batch,NN,O,B-noun.state
419,of,IN,O,O
420,photos,NNS,O,B-noun.communication
421,at,IN,O,O
422,@,NNP,O,B-noun.location
423,stanleecomikaze,NN,O,I-noun.location
424,.,.,O,O
425,#,#,O,O
426,stanleecomiccon,JJ,O,O
427,@,NNP,O,B-noun.communication
428,Stan,NNP,O,I-noun.communication
429,Lee,NNP,O,I-noun.communication
430,'s,POS,O,O
431,Comikaze,NNP,O,I-noun.communication
432,https,NN,O,I-noun.communication
433,:,:,O,O
434,//www,NN,O,B-noun.communication
435,.,.,O,O
436,instagram.com/p/Ba5DDc0nUNz/,NN,O,B-noun.cognition
437,Parents,NNS,O,B-noun.person
438,",",",",O,O
439,come,VB,O,B-verb.motion
440,trick-or-treating,NN,O,B-noun.quantity
441,on,IN,O,O
442,Foothill,NNP,O,B-noun.artifact
443,Blvd,NNP,O,I-noun.artifact
444,tomo,NN,O,I-noun.artifact
445,!,.,O,O
446,We,PRP,O,O
447,’,VBP,O,B-verb.communication
448,re,JJ,O,O
449,opening,VBG,O,B-verb.social
450,our,PRP$,O,O
451,door,NN,O,B-noun.artifact
452,with,IN,O,O
453,treats,NNS,O,B-noun.person
454,for…,VBP,O,O
455,https,NN,O,B-noun.person
456,:,:,O,O
