,0,1,2,predOp
203,@,NNP,O,I-noun.act
204,NME,NNP,O,I-noun.act
205,pic.twitter.com/z6tLaVsgSG,NN,O,I-noun.act
206,RuPaul,NNP,O,B-noun.person
207,becomes,VBZ,O,B-verb.communication
208,first,RB,O,O
209,drag,JJ,O,O
210,icon,NN,O,B-noun.time
211,to,TO,O,O
212,get,VB,O,B-verb.possession
213,a,DT,O,O
214,star,NN,O,B-noun.artifact
215,on,IN,O,O
216,the,DT,O,O
217,Hollywood,NNP,O,B-noun.person
218,Walk,NNP,O,I-noun.person
219,Of,IN,O,O
220,Fame,NNP,O,B-noun.act
221,https,NN,O,I-noun.act
222,:,:,O,O
223,//,NN,O,B-noun.act
224,goo.gl/fb/eWHqob,NN,O,I-noun.act
225,RuPaul,NNP,O,B-noun.person
226,Is,VBZ,O,B-verb.stative
227,the,DT,O,O
228,First,NNP,O,B-noun.person
229,Drag,NNP,O,I-noun.person
230,Queen,NNP,O,I-noun.person
231,to,TO,O,O
232,Get,VB,O,B-verb.possession
233,a,DT,O,O
234,Star,NN,O,B-noun.artifact
235,on,IN,O,O
236,the,DT,O,O
237,Hollywood,NNP,O,B-noun.communication
238,Walk,NNP,O,I-noun.communication
239,of,IN,O,O
240,Fame,NNP,O,B-noun.act
241,pic.twitter.com/QAQCm32TVm,NN,O,I-noun.act
242,--,:,O,O
243,>,NN,O,O
244,>,JJ,O,O
245,Lynda,NNP,O,B-noun.person
246,Carter,NNP,O,I-noun.person
247,is,VBZ,O,B-verb.stative
248,finally,RB,O,O
249,getting,VBG,O,B-verb.possession
250,her,PRP$,O,O
251,star,NN,O,B-noun.artifact
252,on,IN,O,O
253,the,DT,O,O
254,Hollywood,NNP,O,B-noun.communication
255,Walk,NNP,O,I-noun.communication
256,of,IN,O,O
257,Fame,NNP,O,B-noun.communication
258,via,IN,O,O
259,#,#,O,O
260,MeTV,NNP,O,B-noun.person
261,#,#,O,O
262,Fresno,NNP,O,B-noun.person
263,#,#,O,O
264,FreeTV,NNP,O,B-noun.person
265,https,NN,O,I-noun.person
266,:,:,O,O
267,//,NN,O,B-noun.act
268,fb.me/NSX8LdlM,NN,O,I-noun.act
269,A,DT,O,O
270,Big,NNP,O,B-noun.communication
271,Congrats,NNPS,O,I-noun.communication
272,to,TO,O,O
273,@,VB,O,B-verb.social
274,RuPaul,NNP,O,B-noun.person
275,for,IN,O,O
276,your,PRP$,O,O
277,Star,NN,O,B-noun.artifact
278,on,IN,O,O
279,the,DT,O,O
280,Hollywood,NNP,O,B-noun.communication
281,Walk,NNP,O,I-noun.communication
282,of,IN,O,O
283,Fame,NNP,O,B-noun.act
284,Honey,NNP,O,I-noun.act
285,!,.,O,O
286,!,.,O,O
287,!,.,O,O
288,pic.twitter.com/pBjvkgAYyS,NN,O,B-noun.cognition
289,Congratulations,NNS,O,B-noun.group
290,@,VBP,O,O
291,HamillHimself,NNP,O,B-noun.person
292,",",",",O,O
293,for,IN,O,O
294,receiving,VBG,O,B-verb.social
295,a,DT,O,O
296,star,NN,O,B-noun.artifact
297,on,IN,O,O
298,the,DT,O,O
299,Hollywood,NNP,O,B-noun.communication
300,Walk,NNP,O,I-noun.communication
301,of,IN,O,O
302,Fame,NNP,O,B-noun.communication
303,!,.,O,O
304,!,.,O,O
305,Thank,NNP,O,B-noun.person
306,you,PRP,O,O
307,for,IN,O,O
308,inspiring,VBG,O,B-verb.change
309,so,RB,O,O
310,many,JJ,O,O
311,generations,NNS,O,B-noun.communication
312,and,CC,O,O
313,LEGO,NNP,O,B-noun.person
314,sets,VBZ,O,B-verb.communication
315,!,.,O,O
316,#,#,O,O
317,StarWars,NNP,O,B-noun.communication
318,pic.twitter.com/4jWABETLFd,NN,O,I-noun.communication
319,While,IN,O,O
320,I,PRP,O,O
321,was,VBD,O,B-verb.stative
322,scouring,VBG,O,B-verb.communication
323,the,DT,O,O
324,Hollywood,NNP,O,B-noun.communication
325,Walk,NNP,O,I-noun.communication
326,of,IN,O,O
327,Fame,NNP,O,B-noun.time
328,",",",",O,O
329,I,PRP,O,O
330,found,VBD,O,B-verb.cognition
331,Bane,NNP,O,B-noun.person
332,'s,POS,O,O
333,mom,NN,O,B-noun.communication
334,'s,POS,O,O
335,star,NN,O,B-noun.artifact
336,.,.,O,O
337,She,PRP,O,O
338,does,VBZ,O,O
339,n't,RB,O,O
340,get,VB,O,B-verb.possession
341,the,DT,O,O
342,credit,NN,O,B-noun.person
343,she,PRP,O,O
344,deserves,VBZ,O,B-verb.stative
345,in,IN,O,O
346,raising,VBG,O,B-verb.creation
347,such,JJ,O,O
348,a,DT,O,O
349,treacherous,JJ,O,O
350,villain,NN,O,B-noun.person
351,imo,NN,O,I-noun.person
352,.,.,O,O
353,Check,VB,O,B-verb.perception
354,out,RP,O,O
355,the,DT,O,O
356,full,JJ,O,O
357,video,NN,O,B-noun.communication
358,here,RB,O,O
359,https,VBZ,O,B-verb.communication
360,:,:,O,O
361,//,NN,O,B-noun.act
362,bars.tl/wDpJErW0pL,NN,O,I-noun.act
363,pic.twitter.com/63gsPaVtjE,NN,O,I-noun.act
364,RuPaul,NNP,O,B-noun.person
365,first,RB,O,O
366,drag,VBZ,O,B-verb.communication
367,icon,NN,O,B-noun.time
368,to,TO,O,O
369,get,VB,O,B-verb.possession
370,a,DT,O,O
371,star,NN,O,B-noun.artifact
372,on,IN,O,O
373,the,DT,O,O
374,Hollywood,NNP,O,B-noun.person
375,Walk,NNP,O,I-noun.person
376,Of,IN,O,O
377,Fame,NNP,O,B-noun.act
378,http,NN,O,I-noun.act
379,:,:,O,O
380,//,JJ,O,O
381,bit.ly/2FVKO0K,NN,O,B-noun.communication
382,#,#,O,O
383,LGBTQ,NNP,O,B-noun.person
384,#,#,O,O
385,LGBT,NNP,O,B-noun.person
386,#,#,O,O
387,LGBTI,NNP,O,B-noun.person
388,#,#,O,O
389,UK,NNP,O,B-noun.location
390,#,#,O,O
391,Australia,NNP,O,B-noun.person
392,#,#,O,O
393,Ireland,NNP,O,B-noun.person
394,#,#,O,O
395,NewZealand,NNP,O,B-noun.person
396,#,#,O,O
397,Sweden,NNP,O,B-noun.person
398,#,#,O,O
399,Denmark,NNP,O,B-noun.person
400,#,#,O,O
401,Norway,NNP,O,B-noun.person
402,#,#,O,O
403,USA,NNP,O,B-noun.person
404,#,#,O,O
405,Canada,NNP,O,B-noun.person
406,RuPaul,NNP,O,B-noun.person
407,first,RB,O,O
408,drag,VBZ,O,B-verb.communication
409,icon,NN,O,B-noun.time
410,to,TO,O,O
411,get,VB,O,B-verb.possession
412,a,DT,O,O
413,star,NN,O,B-noun.artifact
414,on,IN,O,O
415,the,DT,O,O
416,Hollywood,NNP,O,B-noun.person
417,Walk,NNP,O,I-noun.person
418,Of,IN,O,O
419,Fame,NNP,O,B-noun.act
420,https,NN,O,I-noun.act
421,:,:,O,O
422,//,NN,O,B-noun.act
423,mysocalledgaylife.co.uk/2018/03/rupaul,NN,O,I-noun.act
424,-first-drag-icon-to-get-a-star-on-the-hollywood-walk-of-fame/,NNP,O,I-noun.act
425,…,NNP,O,I-noun.act
426,pic.twitter.com/cuDr1i6s6w,NN,O,I-noun.act
427,Sad,JJ,O,O
428,people,NNS,O,B-noun.group
429,hold,VBP,O,B-verb.communication
430,celebs,NN,O,B-noun.person
431,to,TO,O,O
432,a,DT,O,O
433,higher,JJR,O,O
434,standard,NN,O,B-noun.communication
435,than,IN,O,O
436,the,DT,O,O
437,potus,NN,O,B-noun.group
438,who,WP,O,I-noun.group
439,has,VBZ,O,B-verb.possession
440,a,DT,O,O
441,star,NN,O,B-noun.artifact
442,on,IN,O,O
443,the,DT,O,O
444,Hollywood,NNP,O,B-noun.communication
445,Walk,NNP,O,I-noun.communication
446,of,IN,O,O
447,Fame,NNP,O,B-noun.food
448,.,.,O,O
449,But,CC,O,O
450,Trump,NNP,O,B-noun.person
451,calls,VBZ,O,B-verb.social
452,people,NNS,O,B-noun.group
453,names,RB,O,O
454,more,RBR,O,O
455,than,IN,O,O
456,anyone,NN,O,B-noun.person
457,and,CC,O,O
458,he,PRP,O,O
459,was,VBD,O,B-verb.stative
460,sent,VBN,O,O
461,by,IN,O,O
462,God,NNP,O,B-noun.person
463,Celebrate,NNP,O,B-noun.communication
464,@,NNP,O,I-noun.communication
465,RuPaul,NNP,O,I-noun.communication
466,receiving,VBG,O,B-verb.communication
467,a,DT,O,O
468,Star,NN,O,B-noun.artifact
469,on,IN,O,O
470,the,DT,O,O
471,Hollywood,NNP,O,B-noun.communication
472,Walk,NNP,O,I-noun.communication
473,of,IN,O,O
474,Fame,NNP,O,B-noun.artifact
475,with,IN,O,O
476,a,DT,O,O
477,Chocolate,NNP,O,B-noun.communication
478,RuPaul,NNP,O,I-noun.communication
479,Walk,NNP,O,I-noun.communication
480,of,IN,O,O
481,Fame,NNP,O,B-noun.person
482,Star,NNP,O,I-noun.person
483,!,.,O,O
484,Now,RB,O,O
485,available,JJ,O,O
486,at,IN,O,O
487,the,DT,O,O
488,RuPaul,NNP,O,B-noun.person
489,Pop-Up,NNP,O,I-noun.person
490,Shop,NNP,O,I-noun.person
491,and,CC,O,O
492,online,NN,O,B-noun.communication
493,!,.,O,O
494,International,NNP,O,B-noun.person
495,Shipping,VBG,O,B-verb.communication
496,!,.,O,O
497,https,NN,O,B-noun.person
498,:,:,O,O
499,//www,NN,O,B-noun.communication
500,.,.,O,O
501,sweetlosangeles.com/pop-ups/rupaul/,JJ,O,O
502,pic.twitter.com/mLlLzokTZm,NN,O,B-noun.cognition
503,RuPaul,NNP,O,B-noun.person
504,Honored,NNP,O,I-noun.person
505,With,IN,O,O
506,Star,NNP,O,B-noun.person
507,On,IN,O,O
508,The,DT,O,O
509,Hollywood,NNP,O,B-noun.person
510,Walk,NNP,O,I-noun.person
511,Of,IN,O,O
512,Fame,NNP,O,B-noun.act
513,https,NN,O,I-noun.act
514,:,:,O,O
515,//,NN,O,B-noun.act
516,fb.me/1PiKT4fNw,NN,O,I-noun.act
517,We,PRP,O,O
518,do,VBP,O,O
519,not,RB,O,O
520,speak,VB,O,B-verb.communication
521,of,IN,O,O
522,Jaws,NNP,O,B-noun.time
523,4,CD,O,O
524,when,WRB,O,O
525,talking,VBG,O,B-verb.communication
526,about,IN,O,O
527,Steven,NNP,O,B-noun.person
528,Spielberg,NNP,O,I-noun.person
529,'s,POS,O,O
530,legacy,NN,O,B-noun.time
531,@,FW,O,O
532,robbiebarstool,NN,O,B-noun.person
533,does,VBZ,O,B-verb.social
534,the,DT,O,O
535,Hollywood,NNP,O,B-noun.communication
536,Walk,NNP,O,I-noun.communication
537,of,IN,O,O
538,Fame,NNP,O,B-noun.communication
539,→,NNP,O,I-noun.communication
540,full,JJ,O,O
541,video,NN,O,B-noun.communication
542,:,:,O,O
543,https,NN,O,B-noun.communication
544,:,:,O,O
545,//,JJ,O,O
546,bars.tl/wDpJErW0pL,NN,O,B-noun.person
547,pic.twitter.com/5F1ApbzzfT,NN,O,I-noun.person
548,Yeah,NN,O,B-noun.communication
549,I,PRP,O,O
550,Have,VBP,O,B-verb.possession
551,An,DT,O,O
552,Apartment,NN,O,B-noun.communication
553,On,IN,O,O
554,Vine,NNP,O,B-noun.communication
555,Street,NNP,O,I-noun.communication
556,Where,NNP,O,I-noun.communication
557,@,NNP,O,I-noun.communication
558,MarkDohner,NNP,O,I-noun.communication
559,@,NNP,O,I-noun.communication
560,LoganPaul,NNP,O,I-noun.communication
561,@,NNP,O,I-noun.communication
562,AlissaViolet,NNP,O,I-noun.communication
563,@,NNP,O,I-noun.communication
564,jakepaul,NN,O,I-noun.communication
565,@,NNP,O,I-noun.communication
566,KingBach,NNP,O,I-noun.communication
567,@,NNP,O,I-noun.communication
568,AmandaCerny,NNP,O,I-noun.communication
569,And,CC,O,O
570,most,JJS,O,O
571,of,IN,O,O
572,the,DT,O,O
573,viners,NNS,O,B-noun.group
574,lived,VBD,O,B-verb.change
575,on,IN,O,O
576,Vine,NNP,O,B-noun.location
577,Street,NNP,O,I-noun.location
578,Same,NNP,O,I-noun.location
579,Building,NNP,O,I-noun.location
580,Right,NNP,O,I-noun.location
581,By,IN,O,O
582,Hollywood,NNP,O,B-noun.person
583,Walk,NNP,O,I-noun.person
584,Of,IN,O,O
585,Fame,NNP,O,B-noun.act
586,Retweeted,VBN,O,O
587,NME,NNP,O,B-noun.communication
588,(,(,O,O
589,@,NNP,O,B-noun.location
590,NME,NNP,O,I-noun.location
591,),),O,O
592,:,:,O,O
593,RuPaul,NNP,O,B-noun.person
594,becomes,VBZ,O,B-verb.communication
595,first,RB,O,O
596,drag,JJ,O,O
597,icon,NN,O,B-noun.time
598,to,TO,O,O
599,get,VB,O,B-verb.possession
600,a,DT,O,O
601,star,NN,O,B-noun.artifact
602,on,IN,O,O
603,the,DT,O,O
604,Hollywood,NNP,O,B-noun.person
605,Walk,NNP,O,I-noun.person
606,Of,IN,O,O
607,Fame,NNP,O,B-noun.communication
608,...,:,O,O
609,https,NN,O,B-noun.communication
610,:,:,O,O
611,//,NN,O,B-noun.act
612,fb.me/8pH8eVGc8,NN,O,I-noun.act
613,#,#,O,O
614,TelegraphNews,NNP,O,B-noun.communication
615,Emotional,NNP,O,I-noun.communication
616,RuPaul,NNP,O,I-noun.communication
617,makes,VBZ,O,B-verb.change
618,history,NN,O,B-noun.time
619,with,IN,O,O
620,Hollywood,NNP,O,B-noun.person
621,Walk,NNP,O,I-noun.person
622,of,IN,O,O
623,Fame,NNP,O,B-noun.act
624,star,NN,O,I-noun.act
625,https,NN,O,I-noun.act
626,:,:,O,O
627,//,NN,O,B-noun.act
628,goo.gl/1HnYck,NN,O,I-noun.act
629,ART,NNP,O,B-noun.communication
630,&,CC,O,O
