username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BooLuca;2018-03-14 19:06;0;0;"#hikeordie @Griffith Observatory https://www. instagram.com/p/BgU5U1bnNDF/";;@Griffith;#hikeordie;"974104569557889024";https://twitter.com/BooLuca/status/974104569557889024
Guidlx;2018-03-14 17:58;0;1;"Take me #griffithobservatory #losangeles pic.twitter.com/4kl5Hcmd0I";;;#griffithobservatory #losangeles;"974087370877399040";https://twitter.com/Guidlx/status/974087370877399040
RealOwenTeague;2018-03-14 17:49;17;258;"Picked the wrong day to go to the Observatory. @Griffith Observatory https://www. instagram.com/p/BgUu6RLFUHm/";;@Griffith;;"974085209179160576";https://twitter.com/RealOwenTeague/status/974085209179160576
duchess_cake;2018-03-14 16:47;0;2;"I don’t hate jazz and I love the Griffith Observatory . La La Land was made for me. #LA";;;#LA;"974069651415035904";https://twitter.com/duchess_cake/status/974069651415035904
awesomebrandi;2018-03-14 15:51;0;0;"Oh hai, L.A.! #losangeles #california #californiaadventure #roadtrip #griffithobservatory … https://www. instagram.com/p/BgUjBh_H27g/";;;#losangeles #california #californiaadventure #roadtrip #griffithobservatory;"974055525032882176";https://twitter.com/awesomebrandi/status/974055525032882176
TheCLUBofCA;2018-03-14 15:40;0;0;""Dr. Stephen Hawking helped transform modern physics and advanced our perspective on fundamental things... I am ever grateful for his insight, his humor, and his soaring spirit." Dr. Ed Krupp, Director, Griffith Observatory & Club Member #cityemployeesclub #griffithobservatory pic.twitter.com/DTgNR5AsF6";;;#cityemployeesclub #griffithobservatory;"974052585148739585";https://twitter.com/TheCLUBofCA/status/974052585148739585
gfclouis;2018-03-14 15:01;0;1;"Always want to go to Griffith Observatory , some great views there.";;;;"974042801242628098";https://twitter.com/gfclouis/status/974042801242628098
AnthonyJCook2;2018-03-14 14:35;0;0;"The paid rentals at Mt. Wilson are for fairly small groups who spend several hours observing. If it happened at Griffith Observatory , the line is usually clearly marked as being closed so that the last person is admitted into the dome at about 9:30 p.m. and looks by 9:45 p.m.";;;;"974036352659472384";https://twitter.com/AnthonyJCook2/status/974036352659472384
TheRemyThorne22;2018-03-14 14:30;1;0;"My #wcw holding onto me while we were waiting for the Griffith Observatory telescope to open up.… https://www. instagram.com/p/BgUZtFrlRm2/";;;#wcw;"974035025720037377";https://twitter.com/TheRemyThorne22/status/974035025720037377
edmaditya;2018-03-14 14:27;0;0;"Griffith Observatory , featured in movie La La Land. #losangeles #LA #california #city #usa … https://www. instagram.com/p/BgUZURaFGyP/";;;#losangeles #LA #california #city #usa;"974034203020005376";https://twitter.com/edmaditya/status/974034203020005376
charlesjmounce;2018-03-14 13:03;0;0;"Don't forget to look at the stars. RIP Mr. Hawking. #sciencematters #stem @Griffith Observatory https://www. instagram.com/p/BgUPusGlKcL/";;@Griffith;#sciencematters #stem;"974013087513829378";https://twitter.com/charlesjmounce/status/974013087513829378
sunshinetype_;2018-03-14 11:47;0;2;"It’ll be cloudy this weekend, but I kinda want to go to the Griffith Observatory . It’s been a while and that sounds fun.";;;;"973994159479472130";https://twitter.com/sunshinetype_/status/973994159479472130
k_nuts25;2018-03-14 10:33;0;1;"Last day in LA @Griffith Observatory https://www. instagram.com/p/BgT-nyBB1VLw VGDd8CYLCLsO_JKyPi0wpIkbko0/ …";;@Griffith;;"973975479920283648";https://twitter.com/k_nuts25/status/973975479920283648
edmaditya;2018-03-14 10:31;0;0;"Featured in movie La La Land (@Griffith Observatory - @griffithobserv in Los Angeles, CA) https://www. swarmapp.com/c/0Lm1WJe8i9K pic.twitter.com/9nrQWQx57Z";;@Griffith @griffithobserv;;"973974915526352908";https://twitter.com/edmaditya/status/973974915526352908
447327642;2018-03-14 07:57;0;0;"上一次“去看看外面的世界”之后，发生了什么呢 @Griffith Observatory https://www. instagram.com/p/BgTswVAhtkC/";;@Griffith;;"973936187927859204";https://twitter.com/447327642/status/973936187927859204
447327642;2018-03-14 07:53;0;0;"“我们都去看看外面的世界” @Griffith Observatory https://www. instagram.com/p/BgTsTymBgBB/";;@Griffith;;"973935226266075136";https://twitter.com/447327642/status/973935226266075136
charlielfriend;2018-03-14 07:13;0;0;"Venice beach, Santa Monica pier, Warner Bros studio tour, Universal Studios (esp if you love Harry Potter) rodeo drive, Griffith observatory , and Hollywood generally!";;;;"973925131029446661";https://twitter.com/charlielfriend/status/973925131029446661
imcountingufoz;2018-03-14 04:58;1;2;"We got tickets for a TV recording (Jimmy Kimmel), we're going to Griffith Observatory , Seal Beach, Amoeba, lunch at Philippes, Hopefully a night at Perch. Bus tour, Venice Beach, Santa Monica pier. What about a trip to Catalina Island?";;;;"973891079727665152";https://twitter.com/imcountingufoz/status/973891079727665152
BrinaRifka;2018-03-14 04:43;0;0;"Damn #RIPStephenHawkings I remember going to the Griffith Observatory in LA and seeing all his books and work there about space. Love space. Hope @bigbangtheory does something special for him";;@bigbangtheory;#RIPStephenHawkings;"973887312500281344";https://twitter.com/BrinaRifka/status/973887312500281344
auntyrenee;2018-03-14 00:26;1;4;"CAPS! Point of view surrounding the solar system at the Griffith Observatory @MistahShim @hikinocando @BethDuncan pic.twitter.com/1HfcMWUHYr";;@MistahShim @hikinocando @BethDuncan;;"973822679970181120";https://twitter.com/auntyrenee/status/973822679970181120
