username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BlackGlass_;2017-10-30 13:48;0;0;"Boys out here learning new talents and whatnot Are you guys following @BlackGlass_ … https://www. instagram.com/p/Ba4til0BvDo/";;@BlackGlass_;;"925102145673801728";https://twitter.com/BlackGlass_/status/925102145673801728
BigStrongFast;2017-10-30 13:48;0;2;"Things are getting serious. #WarOnCarbs #BiggerStrongerFaster @marksmellybell @Runway Playa Vista https://www. instagram.com/p/Ba4te_nncPQ/";;@marksmellybell @Runway;#WarOnCarbs #BiggerStrongerFaster;"925102142184071168";https://twitter.com/BigStrongFast/status/925102142184071168
IronEagle4Life;2017-10-30 13:48;0;0;"@CHRIS_Daughtry sings the experiences of my soul @Los Angeles, California https://www. instagram.com/p/Ba4tmvYjLpE/";;@CHRIS_Daughtry @Los;;"925102136693633025";https://twitter.com/IronEagle4Life/status/925102136693633025
sergiotello666;2017-10-30 13:48;0;0;"#losangelescityhall #dtla #dtlalife #funkococo #miguel #pixarcoco #disneypixar #funkopopvinyl … https://www. instagram.com/p/Ba4tmFils6l/";;;#losangelescityhall #dtla #dtlalife #funkococo #miguel #pixarcoco #disneypixar #funkopopvinyl;"925102126119956481";https://twitter.com/sergiotello666/status/925102126119956481
EdVanMvn;2017-10-30 13:48;0;0;"Yayoi Kusama @Yayoi Kusama's Infinity Mirrored Room at The Broad https://www. instagram.com/p/Ba4tlTXlrJ8/";;@Yayoi;;"925102103097262081";https://twitter.com/EdVanMvn/status/925102103097262081
cerinavincent;2017-10-30 13:47;2;14;"One more because I love my sissy @savequeengreen , #kindsoul and #boxinglegend @sugarrayleonard … https://www. instagram.com/p/Ba4tgjwFe3u/";;@savequeengreen @sugarrayleonard;#kindsoul #boxinglegend;"925101946662420480";https://twitter.com/cerinavincent/status/925101946662420480
DeannaOC;2017-10-30 13:47;0;0;"My Monday just got real good! Puff waffle with a Mango tapioca coconut milk drink! Yum!… https://www. instagram.com/p/Ba4tf9wlbhJ/";;;;"925101905709117440";https://twitter.com/DeannaOC/status/925101905709117440
TRRYITH;2017-10-30 13:47;0;0;"#mcdxcomplexcontest @ComplexMag @Warner Bros Studio, Los Angeles, California https://www. instagram.com/p/Ba4tVGxhZnT/";;@ComplexMag @Warner;#mcdxcomplexcontest;"925101901766684672";https://twitter.com/TRRYITH/status/925101901766684672
TheKing_V;2017-10-30 13:47;0;0;"When they holding bae for ransom Starring : @TheKing_V stephanosway… https://www. instagram.com/p/Ba4tSRLDmws/";;@TheKing_V;;"925101833667751936";https://twitter.com/TheKing_V/status/925101833667751936
RealCakeBaker;2017-10-30 13:47;0;0;"Chocolate & Banana Sheet Cake w/Butter Cream Frosting for a play Wake Up It's Time for… https://www. instagram.com/p/Ba4tdVWH8Q5/";;;;"925101824046174208";https://twitter.com/RealCakeBaker/status/925101824046174208
